"methods","uri","handler","operation","static_acl","role_check","risk","required_runtime_test"
"GET","admin/user_images/{path}","Closure","read file","no static auth","none","High","anonymous traversal/encoded path and private-file disclosure"
"GET","admin/gallery-items/{path}","Closure","read file","no static auth","none","High","anonymous traversal/encoded path and private-file disclosure"
"GET","admin/login","VoyagerAuthController@login","login form","public expected","n/a","Low","anonymous 200 and authenticated redirect"
"POST","admin/login","VoyagerAuthController@postLogin","authenticate","public expected","n/a","Medium","CSRF, throttling, invalid credentials and session fixation"
"GET","admin/orders/{id}","Admin\\OrdersController@edit_admin_order","read order/customer data","no static auth","none","Critical","anonymous/wrong-role/foreign-order deny"
"GET","admin/orders/{id}/edit","Admin\\OrdersController@edit_admin_order","read order/customer data","no static auth","none","Critical","anonymous/wrong-role/foreign-order deny"
"GET","admin/voyager-assets","VoyagerController@assets","serve package asset","public expected","n/a","Low","allow only known package assets"
"GET","admin/sitemap","Closure","redirect back","no static auth","none","Low","confirm unused or restrict/remove"
"ANY","admin/image_gen_by_order_id/{id}","Admin\\ImageGenController@image_gen_by_order_id","write/overwrite derived files","no static auth","none","Critical","anonymous/wrong-role deny; GET must not mutate"
"POST","admin/user/change-pdf-locale","Admin\\OrdersController@changePdfLocale","update user pdf locale","no static auth","none","High","anonymous/wrong-role deny; locale allowlist"
"ANY","admin/upload/tinyimage","Admin\\VoyagerAdminController@tiny_upload","upload public file","controller auth","none","Critical","wrong-role, MIME/size/name collision and executable upload"
"POST","admin/delete_order_image","Admin\\VoyagerAdminController@delete_order_image","delete order image/reference","controller auth","none","Critical","wrong-role and foreign-order/file deny"
"POST","admin/update/painter/orders","Admin\\VoyagerAdminController@update_painter_orders","change painter assignments","controller auth","none","High","8-role action matrix and order scope"
"GET","admin/users/{painter_id}/remove/{order_id}","Admin\\VoyagerAdminController@remove_order_painter","delete painter assignment","controller auth","none","High","GET no mutation; wrong-role deny"
"GET","admin/printing/{printing_id}/remove/{order_id}","Admin\\VoyagerAdminController@remove_order_printing","delete printing assignment","controller auth","none","High","GET no mutation; wrong-role deny"
"POST","admin/update_order_chat_ajax","Admin\\VoyagerAdminController@update_order_chat_ajax","send painter message/mail","controller auth","none","Critical","wrong-role, ownership, duplicate and mail side effect"
"POST","admin/update_admin_chat_ajax","Admin\\VoyagerAdminController@update_admin_chat_ajax","write admin chat","controller auth","none","High","wrong-role, ownership and duplicate"
"POST","admin/send_courier","Admin\\Api\\VinepakApiController@send_courier","external courier request","no static auth","none","Critical","anonymous/wrong-role deny; provider fake and duplicate"
"POST","admin/create_label","Admin\\Api\\VinepakApiController@create_label","external label creation","no static auth","none","Critical","anonymous/wrong-role deny; duplicate/retry/receipt"
"POST","admin/print_label","Admin\\Api\\VinepakApiController@print_label","external label fetch/print","no static auth","none","Critical","anonymous/wrong-role deny; label ownership"
"GET","admin/create_admin_order","Admin\\OrdersController@create","read customer/order creation data","no static auth","none","Critical","anonymous/wrong-role deny; source-order access"
"GET","admin/user_filter","Admin\\OrdersController@user_filter","list customers","no static auth","none","Critical","anonymous/wrong-role deny; PII exposure"
"POST","admin/create_admin_order","Admin\\OrdersController@create_admin_order","create order and side effects","no static auth","none","Critical","anonymous/wrong-role deny; idempotency and failure injection"
"POST","admin/orders/{id}/update","Admin\\OrdersController@update_admin_order","update order/customer/delivery","no static auth","none","Critical","anonymous/wrong-role deny; order invariant and concurrency"
"POST","admin/orders/{order}/payment-requests","Admin\\OrderPaymentRequestController@store","create payment request","method auth+role","admin|manager","Critical","negative role tests; duplicate/amount/currency"
"GET","admin/orders/{id}/remove_painter_image/{img_id?}","OrdersController@remove_painter_image","delete order image metadata","no static auth","none","Critical","anonymous/wrong-role/foreign-order deny; GET no mutation"
"POST","admin/add_painter_images","OrdersController@add_painter_images","upload painter images","no static auth","none","Critical","anonymous/wrong-role deny; MIME/size/order ownership"
"POST","admin/update_order_item_price","Admin\\OrdersController@update_order_item_price","change price and regenerate PDF","method dereferences Auth user","admin|manager","Critical","anonymous must return 401/403 not 500; role and totals"
"POST","admin/add_order_item","OrdersController@add_order_item","change order items/files/price","no static auth","none","Critical","anonymous/wrong-role deny; totals/idempotency/files"
"GET","admin/remove_user_image","OrdersController@remove_user_image","delete client image metadata","no static auth","none","Critical","anonymous/wrong-role/foreign-order deny; GET no mutation"
"GET","admin/user/{id}/set_sale/{sale}","Admin\\VoyagerAdminController@give_user_sale","grant discount/send mail","controller auth","admin|manager in method","High","CSRF-safe POST and role matrix"
"GET","admin/user/{id}/cancel_sale/{sale}","Admin\\VoyagerAdminController@cancel_user_sale","revoke discount/send mail","controller auth","admin|manager in method","High","CSRF-safe POST and role matrix"
"ANY","admin/user/{id}/set_sale30_40","Admin\\VoyagerAdminController@set_sale30_40","create coupon/send mail","controller auth","admin|manager in method","High","POST only; duplicate coupon/mail and role matrix"
"GET","admin/user/{user_id}/leave_rev/{order_id}","OrdersController@leave_rev","send review email","no static auth","none","Critical","anonymous/wrong-role deny; GET no side effect; duplicate mail"
"GET","admin/user/{user_id}/leave_rev","OrdersController@leave_rev_no_orders","send review email","no static auth","none","Critical","anonymous/wrong-role deny; GET no side effect; duplicate mail"
"POST","admin/set_sub_cats","Admin\\OrdersController@set_sub_cats","read gallery subcategories","unresolved handler","none","High","resolve intended controller then ACL/validation test"
"POST","admin/upload_audio_rev","Admin\\VoyagerAdminController@upload_audio_rev","upload audio/update translation","controller auth","none","High","wrong-role, MIME/size and locale allowlist"
"GET","admin/cache/clear","Admin\\VoyagerAdminController@cache_clear","clear application cache","controller auth","none","High","admin-only POST/action; concurrent production behavior"
"GET","admin/cache/set","Admin\\VoyagerAdminController@cache_set","build config/route cache","controller auth","none","Critical","admin-only deploy action; route cache baseline"
"GET","admin/user_notify","Admin\\VoyagerAdminController@user_notify","run notification command","controller auth","none","Critical","admin-only POST/action; duplicate notifications"
"GET","admin/email-sender","Admin\\EmailSenderController@index","list users/locales/PII","no static auth","none","Critical","anonymous/wrong-role deny; data minimization"
"POST","admin/email-sender","Admin\\EmailSenderController@send","bulk marketing email","no static auth","none","Critical","anonymous/wrong-role deny; consent/rate/idempotency"
"GET","admin/Coupon30_40","Admin\\OrdersController@Coupon30_40","list promotion screenshots/users","no static auth","none","High","anonymous/wrong-role deny; PII/file access"
"GET","admin/facebook","Admin\\OrdersController@facebookCoupon","list promotion screenshots/users","no static auth","none","High","anonymous/wrong-role deny; PII/file access"
"POST","admin/salefacebook","Admin\\OrdersController@ajaxfacebook","update user/create coupon/send mail","no static auth","none","Critical","anonymous/wrong-role deny; duplicate coupon/mail"
"POST","admin/sale30_40","Admin\\OrdersController@ajax30_40","update user/create coupon/send mail","no static auth","none","Critical","anonymous/wrong-role deny; duplicate coupon/mail"
"POST","admin/sa/bot-control","Admin\\AdminSaIntegrationController@botControl","change bot mode/external event","no static auth","none","Critical","anonymous/wrong-role deny; idempotency/concurrency"
"POST","admin/sa/send-message","Admin\\AdminSaIntegrationController@sendMessage","send customer-visible message","no static auth","none","Critical","anonymous/wrong-role deny; duplicate/retry/audit sender"
"GET","admin/sa/messages","Admin\\AdminSaIntegrationController@getMessages","read customer messages","no static auth","none","Critical","anonymous/wrong-role/foreign-order deny"
"GET","admin/sa-conversations","Admin\\AdminSaIntegrationController@conversationsIndex","list conversations/customer data","no static auth","none","Critical","anonymous/wrong-role deny; PII scope"
"GET","admin/sa-conversations/unread-state","Admin\\AdminSaIntegrationController@conversationsUnreadState","read conversation aggregate","no static auth","none","High","anonymous/wrong-role deny"
"GET","admin/sa-conversations/{conversation}","Admin\\AdminSaIntegrationController@conversationShow","read messages and mark read","no static auth","none","Critical","anonymous/wrong-role deny; GET read-state mutation"
"POST","admin/sa-conversations/{conversation}/send-message","Admin\\AdminSaIntegrationController@conversationSendMessage","send customer-visible message","no static auth","none","Critical","anonymous/wrong-role deny; duplicate/retry/audit sender"
"POST","admin/sa-conversations/{conversation}/create-order","Admin\\AdminSaIntegrationController@conversationCreateOrder","create order from conversation","no static auth","none","Critical","anonymous/wrong-role deny; concurrent create/idempotency"
"POST","admin/sa-conversations/{conversation}/bind-order","Admin\\AdminSaIntegrationController@conversationBindOrder","bind conversation to order/write chat","no static auth","none","Critical","anonymous/wrong-role deny; ownership/conflict/concurrency"
"GET","admin/sa-simulator","Admin\\AdminSaIntegrationController@simulator","read simulator data","no static auth","none","High","anonymous/wrong-role deny; production availability"
"POST","admin/sa-simulator/trigger","Admin\\AdminSaIntegrationController@simulatorTrigger","dispatch arbitrary allowed internal API path","no static auth","none","Critical","disable in production or strict admin allowlist"
"POST","admin/check-user","AccountController@ajax_check_user","search/list users by email","no static auth","none","Critical","anonymous/wrong-role deny; enumeration/rate limit"
