"methods","uri","name","handler","controller","middleware","domain","handler_exists","source_file","source_line"
"GET","api/google-rating","","App\Http\Controllers\Api\GoogleRatingController@__invoke","App\Http\Controllers\Api\GoogleRatingController","api","","yes","app/Http/Controllers/Api/GoogleRatingController.php","13"
"GET","api/google-reviews","","App\Http\Controllers\Api\GoogleReviewsController@__invoke","App\Http\Controllers\Api\GoogleReviewsController","api","","yes","app/Http/Controllers/Api/GoogleReviewsController.php","38"
"POST","api/test/synvolve/order-capture","","App\Http\Controllers\Api\SynvolveTestWebhookController@captureOrder","App\Http\Controllers\Api\SynvolveTestWebhookController@captureOrder","api","","yes","app/Http/Controllers/Api/SynvolveTestWebhookController.php","12"
"POST","api/test/synvolve/message-capture","","App\Http\Controllers\Api\SynvolveTestWebhookController@captureManagerMessage","App\Http\Controllers\Api\SynvolveTestWebhookController@captureManagerMessage","api","","yes","app/Http/Controllers/Api/SynvolveTestWebhookController.php","19"
"GET","api/test/synvolve/latest/{type?}","","App\Http\Controllers\Api\SynvolveTestWebhookController@latest","App\Http\Controllers\Api\SynvolveTestWebhookController@latest","api","","yes","app/Http/Controllers/Api/SynvolveTestWebhookController.php","26"
"GET","api/blog/categories","","App\Http\Controllers\Api\BlogIntegrationController@categories","App\Http\Controllers\Api\BlogIntegrationController@categories","api|integration.api_key","","yes","app/Http/Controllers/Api/BlogIntegrationController.php","20"
"GET","api/blog/authors","","App\Http\Controllers\Api\BlogIntegrationController@authors","App\Http\Controllers\Api\BlogIntegrationController@authors","api|integration.api_key","","yes","app/Http/Controllers/Api/BlogIntegrationController.php","63"
"POST","api/blog/authors","","App\Http\Controllers\Api\BlogIntegrationController@storeAuthor","App\Http\Controllers\Api\BlogIntegrationController@storeAuthor","api|integration.api_key","","yes","app/Http/Controllers/Api/BlogIntegrationController.php","110"
"GET","api/blog/posts","","App\Http\Controllers\Api\BlogIntegrationController@posts","App\Http\Controllers\Api\BlogIntegrationController@posts","api|integration.api_key","","yes","app/Http/Controllers/Api/BlogIntegrationController.php","174"
"POST","api/blog/media","","App\Http\Controllers\Api\BlogIntegrationController@storeMedia","App\Http\Controllers\Api\BlogIntegrationController@storeMedia","api|integration.api_key","","yes","app/Http/Controllers/Api/BlogIntegrationController.php","614"
"POST","api/blog/posts","","App\Http\Controllers\Api\BlogIntegrationController@storePost","App\Http\Controllers\Api\BlogIntegrationController@storePost","api|integration.api_key","","yes","app/Http/Controllers/Api/BlogIntegrationController.php","283"
"PATCH","api/blog/posts/{post_id}","","App\Http\Controllers\Api\BlogIntegrationController@updatePost","App\Http\Controllers\Api\BlogIntegrationController@updatePost","api|integration.api_key","","yes","app/Http/Controllers/Api/BlogIntegrationController.php","430"
"POST","api/sa/webhooks/messages","","App\Http\Controllers\Api\SaIntegrationController@messagesWebhook","App\Http\Controllers\Api\SaIntegrationController@messagesWebhook","api|integration.api_key","","yes","app/Http/Controllers/Api/SaIntegrationController.php","36"
"POST","api/crm/webhooks/send-message","","App\Http\Controllers\Api\SaIntegrationController@sendMessageWebhook","App\Http\Controllers\Api\SaIntegrationController@sendMessageWebhook","api|integration.api_key","","yes","app/Http/Controllers/Api/SaIntegrationController.php","115"
"GET","api/sa/services-catalog","","App\Http\Controllers\Api\SaIntegrationController@servicesCatalog","App\Http\Controllers\Api\SaIntegrationController@servicesCatalog","api|integration.api_key","","yes","app/Http/Controllers/Api/SaIntegrationController.php","187"
"GET","api/sa/catalog-full","","App\Http\Controllers\Api\SaIntegrationController@catalogFull","App\Http\Controllers\Api\SaIntegrationController@catalogFull","api|integration.api_key","","yes","app/Http/Controllers/Api/SaIntegrationController.php","262"
"GET","api/sa/services/{service_id}/sizes","","App\Http\Controllers\Api\SaIntegrationController@serviceSizes","App\Http\Controllers\Api\SaIntegrationController@serviceSizes","api|integration.api_key","","yes","app/Http/Controllers/Api/SaIntegrationController.php","344"
"GET","api/sa/services/{service_id}/price-by-size","","App\Http\Controllers\Api\SaIntegrationController@servicePriceBySize","App\Http\Controllers\Api\SaIntegrationController@servicePriceBySize","api|integration.api_key","","yes","app/Http/Controllers/Api/SaIntegrationController.php","440"
"GET","api/sa/orders/lookup","","App\Http\Controllers\Api\SaIntegrationController@lookupOrders","App\Http\Controllers\Api\SaIntegrationController@lookupOrders","api|integration.api_key","","yes","app/Http/Controllers/Api/SaIntegrationController.php","1062"
"POST","api/crm/webhooks/pipeline-changed","","App\Http\Controllers\Api\SaIntegrationController@pipelineChangedWebhook","App\Http\Controllers\Api\SaIntegrationController@pipelineChangedWebhook","api|integration.api_key","","yes","app/Http/Controllers/Api/SaIntegrationController.php","991"
"POST","api/sa/leads","","App\Http\Controllers\Api\SaIntegrationController@createLead","App\Http\Controllers\Api\SaIntegrationController@createLead","api|integration.api_key","","yes","app/Http/Controllers/Api/SaIntegrationController.php","1170"
"PATCH","api/sa/leads/{lead_id}","","App\Http\Controllers\Api\SaIntegrationController@updateLead","App\Http\Controllers\Api\SaIntegrationController@updateLead","api|integration.api_key","","yes","app/Http/Controllers/Api/SaIntegrationController.php","1384"
"POST","api/sa/escalations","","App\Http\Controllers\Api\SaIntegrationController@createEscalation","App\Http\Controllers\Api\SaIntegrationController@createEscalation","api|integration.api_key","","yes","app/Http/Controllers/Api/SaIntegrationController.php","1485"
"POST","api/crm/webhooks/bot-control","","App\Http\Controllers\Api\SaIntegrationController@botControlWebhook","App\Http\Controllers\Api\SaIntegrationController@botControlWebhook","api|integration.api_key","","yes","app/Http/Controllers/Api/SaIntegrationController.php","1549"
"GET","admin/user_images/{path}","","Closure","","web","","yes","routes/admin.php","10"
"GET","admin/gallery-items/{path}","","Closure","","web","","yes","routes/admin.php","34"
"POST","admin/seo-meta/generate","voyager.seo-meta.generate","\App\Http\Controllers\Voyager\SeoMetaGenerationController@generate","\App\Http\Controllers\Voyager\SeoMetaGenerationController@generate","web|admin.user","","yes","app/Http/Controllers/Voyager/SeoMetaGenerationController.php","33"
"GET","admin/seo-meta-suggestions","voyager.seo-meta-suggestions.index","\App\Http\Controllers\Voyager\SeoMetaSuggestionController@index","\App\Http\Controllers\Voyager\SeoMetaSuggestionController@index","web|admin.user","","yes","app/Http/Controllers/Voyager/SeoMetaSuggestionController.php","49"
"POST","admin/seo-meta-suggestions/scan","voyager.seo-meta-suggestions.scan","\App\Http\Controllers\Voyager\SeoMetaSuggestionController@scan","\App\Http\Controllers\Voyager\SeoMetaSuggestionController@scan","web|admin.user","","yes","app/Http/Controllers/Voyager/SeoMetaSuggestionController.php","152"
"POST","admin/seo-meta-suggestions/generate/{id}","voyager.seo-meta-suggestions.generate","\App\Http\Controllers\Voyager\SeoMetaSuggestionController@generate","\App\Http\Controllers\Voyager\SeoMetaSuggestionController@generate","web|admin.user","","yes","app/Http/Controllers/Voyager/SeoMetaSuggestionController.php","183"
"POST","admin/seo-meta-suggestions/approve/{id}","voyager.seo-meta-suggestions.approve","\App\Http\Controllers\Voyager\SeoMetaSuggestionController@approve","\App\Http\Controllers\Voyager\SeoMetaSuggestionController@approve","web|admin.user","","yes","app/Http/Controllers/Voyager/SeoMetaSuggestionController.php","200"
"POST","admin/seo-meta-suggestions/reject/{id}","voyager.seo-meta-suggestions.reject","\App\Http\Controllers\Voyager\SeoMetaSuggestionController@reject","\App\Http\Controllers\Voyager\SeoMetaSuggestionController@reject","web|admin.user","","yes","app/Http/Controllers/Voyager/SeoMetaSuggestionController.php","239"
"POST","admin/seo-meta-suggestions/apply/{id}","voyager.seo-meta-suggestions.apply","\App\Http\Controllers\Voyager\SeoMetaSuggestionController@apply","\App\Http\Controllers\Voyager\SeoMetaSuggestionController@apply","web|admin.user","","yes","app/Http/Controllers/Voyager/SeoMetaSuggestionController.php","253"
