"ID","Контур","Method","Route/trigger","Handler","State/price source","Writes/side effects","Подтверждённый риск","Обязательная проверка"
"BO-001","Public","POST","/basket/add","BasketController::addToBasket","request + DB + session basket","session; abandoned_carts; logs","family-specific item shape","one fixture per family"
"BO-002","Public","POST","/basket/add/portrait","BasketController::addToBasketPortrait","request portrait options","session; files/abandoned cart depending branch","portrait integer price cast downstream","decimal price and count"
"BO-003","Public","POST","/basket/add/inter","BasketController::addToBasketInterier","request add_price/options","session basket","count omitted downstream","count 1/2; multiplier 1/1.3"
"BO-004","Public","POST","/basket/add/module","BasketController::addToBasketModule","request add_price/ram/options","session basket","country multiplier twice downstream","ram 0/>0; multiplier 1/1.3"
"BO-005","Public","POST","/basket/add/construct","BasketController::addToBasketConstruct","request + DB options","session; abandoned cart","component price authority","all constructor option combinations"
"BO-006","Public","POST","/basket/update/count","BasketController::updateCount","session item price + unvalidated intval count","session; abandoned cart","zero/negative count accepted by method","0,-1,text,1,2"
"BO-007","Public","POST","/basket/update_prices","BasketController::update_prices","request country","session basket_country","reprice delayed until read","country switch before checkout"
"BO-008","Public","POST","/cart/replace-size","BasketController::replaceItemSize","DB or family size pricing","session; abandoned cart","different price sources per family","old/new size parity"
"BO-009","Public","ANY","/basket/coupon_use","BasketController::coupon_use","coupons DB + authenticated user","session; users.active_coupon","Route::any; precedence of coupon flags","method/CSRF/auth/coupon type matrix"
"BO-010","Public","GET|POST","/basket/submitbonuses","BasketController::submitBonuses","authenticated user/session","session; abandoned cart","GET state mutation; no local balance check","auth/guest; duplicate request"
"BO-011","Public","GET","/cart/clear_coupon","BasketController::clearcart","session + user","session; users coupon fields","GET state mutation","CSRF/prefetch/back"
"BO-012","Public","POST","/cart/setdelivery","BasketController::setdelivery","client price/delivery fields","session; optional public upload","client-supplied delivery price; base64 file validation gap","server authority; MIME/size/path"
"BO-013","Public","POST","/cart/setmaking","BasketController::setmaking","DB translated production time/price","session; abandoned cart","terms price stored as mixed string/number","standard/express/all families"
"BO-014","Public","GET","/cart/data","BasketController::cart_step2","DB translations/catalog + session","session modal flags","read page mutates session","single/multiple/recommendation"
"BO-015","Public","GET","/cart/delivery","BasketController::cart_step3","session/user + Venipak","two synchronous external calls","timeout/error contract absent in method","timeout/malformed/empty response"
"BO-016","Public","GET","/cart/payment","BasketController::cart_step4","session cart_delivery","render only","assumes cart_delivery.country","missing/expired session"
"BO-017","Public","GET","/save_order_and_pay","OrdersController::save_order_and_pay","session basket/delivery/user","order; payment redirect; session/abandoned cleanup","GET creates order; refresh/retry duplicate","back/refresh/concurrent submit"
"BO-018","Public","POST","/orders/make","OrdersController::makeOrder","request + recalculated session basket","order; PDF admin mail; bonus/user/session","no checkout idempotency/transaction","authenticated/guest/expired session"
"BO-019","Shared","CALL","Orders::saveOrder","basket + checkout params + Auth/session","user/files/order/mail/Synvolve/coupon/bonus/session","partial completion and duplicate order","failpoint after every side effect"
"BO-020","Shared","CALL","BasketRepository::getBasketProperties","session item shapes + DB + country multiplier","calculated basket/session sale fields","different/double multiplier and count rules","golden money corpus"
"BO-021","Shared","CALL","BasketRepository::caclSales","basket totals + Auth + coupon session","session sale_dated","boundary/count/negative/type semantics","all coupon boundaries"
"BO-022","Admin","POST","/admin/create_admin_order","Admin OrdersController::create_admin_order","manual form price/files/delivery","user/bonus/order/files/mail/Synvolve","separate calculator; no transaction","role/validation/money/file matrix"
"BO-023","Admin","CALL","create_admin_order_action","basket_price[] + manual metadata","order/files/mail/Synvolve","manual price is authority; count=1","differential fixture vs public"
"BO-024","Admin","POST","/admin/orders/{id}/update","Admin OrdersController::update_admin_order","manual form + existing JSON","orders; files; PDF","manual price/payment/delivery override","ACL/audit/rounding/concurrent edit"
"BO-025","SA","POST","/api/sa/leads","SaIntegrationController::createLead","validated JSON + service catalog","event claim; user/order/link/status; inherited mail/Synvolve","claim/order atomicity not proven","duplicate/concurrency/crash-after-claim"
"BO-026","SA","CALL","resolveOrCreateLeadId","email/phone/service request","user; real or minimal order","fallback zero-price order looks real","mapping failure and recovery"
"BO-027","SA","CALL","applyLeadPricingToOrderPayload","SA basket + pricing + user","basket coupon/bonus fields","duplicate coupon implementation","differential coupon corpus"
"BO-028","SA","CALL","saveOrderAsUser","temporary web guard + shared saveOrder","all shared saveOrder side effects","global auth/session dependency in API","guard/session restoration on throw"
"BO-029","SA","CALL","ensureOrderExistsForLead","lead id/context","real or temporary order/link","multiple creation/fallback branches","race with two requests"
"BO-030","Production","EVENT","ongoing orders/translations","legacy production DB","new orders/content continue","staging snapshot drift","watermark/delta/reconciliation"
