data_row_id,data_type_id,slug,legacy_table,legacy_model,field,voyager_type,display_name,required,browse,read,edit,add,delete,order,proposed_form_component,proposed_table_component,relationship_model,relationship_table,relationship_type,relationship_column,relationship_key,relationship_label,pivot_table,validation_rule,options_json,details_sha256,details_json,migration_notes
1,1,users,users,"TCG\Voyager\Models\User",id,number,ID,1,1,0,0,0,0,1,TextInput(numeric),TextColumn(numeric),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],required
3,1,users,users,"TCG\Voyager\Models\User",email,text,Email,1,1,1,1,1,1,2,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],required
150,1,users,users,"TCG\Voyager\Models\User",type_id,text,"Type Id",0,1,1,1,1,1,3,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
4,1,users,users,"TCG\Voyager\Models\User",password,password,Пароль,1,0,0,1,1,0,4,"TextInput(password,revealable=false,dehydrate only when filled)","Never display",,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],required
5,1,users,users,"TCG\Voyager\Models\User",remember_token,text,"Токен восстановления",0,0,0,0,0,0,5,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"omit from UI unless server-side lifecycle requires it"
6,1,users,users,"TCG\Voyager\Models\User",created_at,timestamp,"Дата создания",0,0,1,0,0,0,6,"DateTimePicker or read-only Placeholder",TextColumn(dateTime),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
113,1,users,users,"TCG\Voyager\Models\User",first_name,text,"First Name",0,1,1,1,1,1,7,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
7,1,users,users,"TCG\Voyager\Models\User",updated_at,timestamp,"Дата обновления",0,0,0,0,0,0,8,"DateTimePicker or read-only Placeholder",TextColumn(dateTime),,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"omit from UI unless server-side lifecycle requires it"
114,1,users,users,"TCG\Voyager\Models\User",last_name,text,"Last Name",0,0,1,1,1,1,9,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
967,1,users,users,"TCG\Voyager\Models\User",screenshot,text,Screenshot,0,0,1,1,1,1,10,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
115,1,users,users,"TCG\Voyager\Models\User",phone,text,Phone,0,1,1,1,1,1,11,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
8,1,users,users,"TCG\Voyager\Models\User",avatar,image,Аватар,0,0,1,1,1,1,12,"FileUpload(image) with legacy-path adapter",ImageColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"preserve existing URLs and derivatives; validate real MIME/decode/size/path"
116,1,users,users,"TCG\Voyager\Models\User",address,text,Address,0,0,1,1,1,1,13,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
21,1,users,users,"TCG\Voyager\Models\User",role_id,text,Роль,0,0,1,1,1,1,14,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
9,1,users,users,"TCG\Voyager\Models\User",user_belongsto_role_relationship,relationship,Роль,0,1,1,1,1,0,15,"Select/CheckboxList or RelationManager from details","TextColumn via eager-loaded relation","TCG\Voyager\Models\Role",roles,belongsTo,role_id,id,display_name,roles,,,2c2e23405334e15dea09cb6eb38f9006efa686b6c97d74dfeaa1987044549073,"{""model"":""TCG\\Voyager\\Models\\Role"",""table"":""roles"",""type"":""belongsTo"",""column"":""role_id"",""key"":""id"",""label"":""display_name"",""pivot_table"":""roles"",""pivot"":""0"",""taggable"":""0""}","eager-load and scope relation; preserve null/orphan/pivot behavior"
117,1,users,users,"TCG\Voyager\Models\User",invited,text,Invited,0,0,1,1,1,1,16,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],
118,1,users,users,"TCG\Voyager\Models\User",news,text,News,0,0,0,0,0,0,17,TextInput,TextColumn,,,,,,,,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],"omit from UI unless server-side lifecycle requires it"
