menu_item_id,status,title,legacy_path,parent_id,order,legacy_route,legacy_url,legacy_target,legacy_icon,matched_slug,target_surface,proposed_target_class,navigation_group,visibility_contract,authorization_contract,disposition,required_test
248,1,"A Delivery Towns","A Delivery Towns",,13,voyager.a-delivery-towns.index,,_self,,a-delivery-towns,Resource,"App\Filament\Clusters\Commerce\Resources\ADeliveryTownsResource","A Delivery Towns","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
251,1,"Abandoned Carts","Abandoned Carts",,16,voyager.abandoned-carts.index,,_self,,abandoned-carts,Resource,"App\Filament\Clusters\Commerce\Resources\AbandonedCartsResource","Abandoned Carts","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
256,1,Alt-подсказки,Alt-подсказки,,20,,/admin/alt-suggestions,_self,voyager-photo,alt-suggestions,"Resource + batch Actions/Jobs","App\Filament\Clusters\Seo\Resources\AltSuggestionResource",Alt-подсказки,"Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
1,1,"Control Panel","Control Panel",,1,voyager.dashboard,,_self,voyager-boat,,"Panel Dashboard","App\Filament\Pages\Dashboard","Control Panel","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
249,1,"Creeping Lines","Creeping Lines",,14,voyager.creeping-line.index,,_self,,creeping-line,Resource,"App\Filament\Clusters\Content\Resources\CreepingLineResource","Creeping Lines","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
61,1,"Email Рассылка","Email Рассылка",,12,,/admin/email-sender,_self,voyager-mail,email-sender,"Marketing Page","App\Filament\Clusters\Marketing\Pages\EmailCampaign","Email Рассылка","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_queue_controls,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
257,1,"SEO Meta","SEO Meta",,22,,/admin/seo-meta-suggestions,_self,voyager-search,seo-meta-suggestions,"Resource + batch Actions/Jobs","App\Filament\Clusters\Seo\Resources\SeoMetaSuggestionResource","SEO Meta","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
250,1,"Seo Cities","Seo Cities",,15,voyager.seo-city.index,,_self,,seo-city,Resource,"App\Filament\Clusters\Seo\Resources\SeoCityResource","Seo Cities","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
254,1,"Site Images","Site Images",,19,voyager.site-images.index,,_self,,site-images,Resource,"App\Filament\Clusters\Seo\Resources\SiteImagesResource","Site Images","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
253,1,"Venipak Data","Venipak Data",,18,voyager.venipak-data.index,,_self,,venipak-data,Resource,"App\Filament\Clusters\Commerce\Resources\VenipakDataResource","Venipak Data","Visible only when user can access target page/resource; preserve current role visibility after ACL mapping","Every direct target URL and action requires Policy/ability; hidden navigation never substitutes authorization",migrate_with_resource_wave,"8-role visibility matrix; direct URL wrong-role test; route target resolves; ordering/group label parity"
