permission_id,legacy_key,legacy_table_name,proposed_ability,assigned_role_ids,assigned_role_names,assignment_count,target_scope,authorization_contract,migration_status,required_test
1,browse_admin,,viewAny,1|4|5|6|7|8,"admin|manager|Admin 2|printing|lite_manager|seo_manager",6,"Custom action/page ability","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
2,browse_bread,,viewAny,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"Custom action/page ability","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
3,browse_database,,viewAny,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"Custom action/page ability","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
4,browse_media,,viewAny,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"Custom action/page ability","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
5,browse_compass,,viewAny,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"Custom action/page ability","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
6,browse_menus,menus,viewAny,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\MenusResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
7,read_menus,menus,view,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\MenusResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
8,edit_menus,menus,update,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\MenusResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
9,add_menus,menus,create,1|4|5|8,"admin|manager|Admin 2|seo_manager",4,"App\Filament\Clusters\Content\Resources\MenusResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
10,delete_menus,menus,delete,1|4|8,admin|manager|seo_manager,3,"App\Filament\Clusters\Content\Resources\MenusResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
11,browse_roles,roles,viewAny,1|4|5,"admin|manager|Admin 2",3,"App\Filament\Clusters\Access\Resources\RoleResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
12,read_roles,roles,view,1|4|5,"admin|manager|Admin 2",3,"App\Filament\Clusters\Access\Resources\RoleResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
13,edit_roles,roles,update,1|4|5,"admin|manager|Admin 2",3,"App\Filament\Clusters\Access\Resources\RoleResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
14,add_roles,roles,create,1|4|5,"admin|manager|Admin 2",3,"App\Filament\Clusters\Access\Resources\RoleResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
15,delete_roles,roles,delete,1|4,admin|manager,2,"App\Filament\Clusters\Access\Resources\RoleResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
16,browse_users,users,viewAny,1|4|5|6|7,"admin|manager|Admin 2|printing|lite_manager",5,"App\Filament\Clusters\Access\Resources\UserResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
17,read_users,users,view,1|4|6|7,admin|manager|printing|lite_manager,4,"App\Filament\Clusters\Access\Resources\UserResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
18,edit_users,users,update,1|4|5|6|7,"admin|manager|Admin 2|printing|lite_manager",5,"App\Filament\Clusters\Access\Resources\UserResource","Map exact legacy assignment to Policy/Action ability; canAccessPanel is an additional perimeter; deny unknown roles/actions",ready_for_role_matrix_test,"For each of 8 roles: navigation visibility + direct URL + table query scope + record action + Livewire request"
