locale,path,status,production_normalized_sha256,local_normalized_sha256,provisional_source,required_action
de,resources/lang/de/account_new.php,changed,b3332233e7f86ce42837a6ab047702903619afa13893450ad4c71f4dc76996e0,0288ac14e63abaa1c98c16d176025695b83a5807df2f41f428ce48d47d52d3ef,production_candidate,"content diff; manual merge/sign-off"
de,resources/lang/de/header_footer_new.php,changed,8e79c234da10082b9853c559ce8e732a83a522423cf55aeae446b8bfdf794dd5,0cc3ca4f5c9d776f12946d97dda4c1a8131acd236dabf77de6b2707a842265f2,production_candidate,"content diff; manual merge/sign-off"
de,resources/lang/de/mail.php,changed,d0c3f53e66164b740b5090b9b4e8f3439bae518efbc9508bdcc124da42705133,b2a6dad5ddcb0b18d7fca6b61aa92072c0def74d42eb6b22b1544e577ce5898e,production_candidate,"mail content diff; owner/UAT"
ee,resources/lang/ee/account_new.php,changed,e80ce2ed885e28402c1168bbee06178c8ecf4919c2ac84e207f84f4a079b5e5d,675d544616e04d4faf602255c2a973f3c4661884bb0d4b493bfa2697a6981ca1,production_candidate,"content diff; manual merge/sign-off"
ee,resources/lang/ee/header_footer_new.php,changed,c07b84fc46175bcbb8a65c6d35d16e465461dda9832431a8e980cacd6239a599,7ded4490f8012babc005bd0e4b74f95bd9a0e75dc5b5f2cf102d82c1d94b976a,production_candidate,"content diff; manual merge/sign-off"
ee,resources/lang/ee/mail.php,changed,68a71e838f7e0d7c3ff3dfef5df51bdb2c8050fa076e4235df68931043b697c3,f92cf8dd5586d902bc01d766eeb489f8af304a91b7953c5ad7cc904807b42f7b,production_candidate,"mail content diff; owner/UAT"
en,resources/lang/en/account_new.php,changed,112eeb04a2e17f088adff35ed2a99badd800683bbee0d336717b96abd8c17fcf,10885acf2175d9ae872d7794793ab98af725770045428cffda9cbf8a0596b2a9,production_candidate,"content diff; manual merge/sign-off"
en,resources/lang/en/header_footer_new.php,changed,e02dcfd425858ae4a2a583f69eeede4956fe339e8808c0714eef7cf66dbfd0fa,23a87ee2dc6550c3acc40d6fb04d9a28e1a77aa7cf1a0127bc710cbe8f7c50bd,production_candidate,"content diff; manual merge/sign-off"
en,resources/lang/en/mail.php,changed,250856692a83e3b2ed7fbc5961d7cf5a7ca668b9ada629aaad24eac7d907bae8,7fb1f99b6c4a4388e15432b8b33020d53f7abf36cf50e2c20565d9f1ff22f57d,production_candidate,"mail content diff; owner/UAT"
et,resources/lang/et/account_new.php,changed,81a3d7697b57748d0f52ccec4600d7b1db44190ef52061750b68e8f5c4c2f9bd,7a36da65da4f059e43107fa318efa5780552241d316b2ae7be21929fc5a835bc,production_candidate,"content diff; manual merge/sign-off"
et,resources/lang/et/header_footer_new.php,changed,750fae6e140db5ffc49d4e9555edcd1f3bf94edea4ac9e78cc969f9d6d48654f,5b77742d58364bcf18706e451f8674d75407f6ab482882b9f9b0b2ca9c56cad6,production_candidate,"content diff; manual merge/sign-off"
et,resources/lang/et/mail.php,changed,1a2685a313f7689ff82fa04d1998f95245abba8024de9624526c62b79d913184,0e6205f50ad284b4c1d8a9cce7f2bf47900cbf498ce327d64b0cf9878769afcf,production_candidate,"mail content diff; owner/UAT"
lt,resources/lang/lt/account_new.php,changed,af3886b5671dd5b0045b4e94244bf9d707a75b56ffd520b43c39eee740bd1c62,c8c968cd1664875239608d7937614dcffbda815bb99995224ce1c0526e8e72d6,production_candidate,"content diff; manual merge/sign-off"
lt,resources/lang/lt/header_footer_new.php,changed,cba59a7ab2867764196144d35e7ed1e535e6eadff294c9b18bcef86c2441f511,7363779d5310f3ff08eeb4a4778ebe2786ecf01d201114b98b5a14adf48d09a8,production_candidate,"content diff; manual merge/sign-off"
lt,resources/lang/lt/mail.php,changed,961da062c461175f69acf1e1d3349e3aff9eb34c25755083220bd2dc78673774,deadd4ecd311c23f36caa3301da77cdc3f75b7da52126e9f27e4d6df2193e92e,production_candidate,"mail content diff; owner/UAT"
lv,resources/lang/lv/account_new.php,changed,66e10ca31f2356098b79aadded47d912ea559484faa0d6bd393cdaf54b4a7c8b,f66674ac4481a9d09f85b676bdba93d62d316fbace82c3170be7934623c24719,production_candidate,"content diff; manual merge/sign-off"
lv,resources/lang/lv/header_footer_new.php,changed,2ec9f76f2f324c2923acba3ecd5cb4655d7b0f9ce7a98b74e54473bd4fcf026f,26789606cf91163ed967aa711dddc5dae491fa642a4fdc46331f7ae8a90e394f,production_candidate,"content diff; manual merge/sign-off"
lv,resources/lang/lv/mail.php,changed,f7cf781ba2cf0d089824478d20b2ba29e444eeedc2e61f77e33ea7efd681206d,ee90b5a3f2d6e2a3c01fb648fdb4951e6a4b72f0fad26b11b6eeea5320333673,production_candidate,"mail content diff; owner/UAT"
pl,resources/lang/pl/account_new.php,changed,875e40ef04f2831418a9e691a3e222d926e373c20c846c60556da234b1c14004,a58038c4d56568302d6c87d16ee6286dc4013a6ae23332642a30edbe9528cb0f,production_candidate,"content diff; manual merge/sign-off"
pl,resources/lang/pl/header_footer_new.php,changed,4cd34dc5f96dd047392e8d5d4a54e6c0878fba720b256913dd850068b4c372d5,fb16dcdc1424e08e13b5a7f403fcadf75c2099233f14b9aff647f0ef8c537011,production_candidate,"content diff; manual merge/sign-off"
pl,resources/lang/pl/mail.php,changed,c86e4e67fbc456f844409301289bd425e68b8831b924792d5e2d2e2e75a945d1,35deb55cbe6bf05bb7c0c073ee783604ac8f755942fe36fab528dff19afda2eb,production_candidate,"mail content diff; owner/UAT"
ru,resources/lang/ru/account_new.php,changed,205c279d1bfeb6d89446b758a999ed07f9c9dcf588429393f3896358c26bafaf,f6833f2eb2af5481a3bbee48abbed23fea91cf977889e775b3b9c6ef6708faf0,production_candidate,"content diff; manual merge/sign-off"
ru,resources/lang/ru/header_footer_new.php,changed,3d85332d59bfc58d5b8cced8911dbf16f268c605b3e58622d70be9da529537f0,67281c1b904a8bb584671181b57cb4edaa0eac86637b990369c36612b8c4a64a,production_candidate,"content diff; manual merge/sign-off"
cn,resources/lang/cn/google_reviews.php,local_only,,3b336c235497ade6f1c29b4c8825e9dd1482a9562fcd357c09bbfe569574b634,unresolved,"runtime/code-history/owner decision; preserve"
jp,resources/lang/jp/google_reviews.php,local_only,,928c6f4a5beb254480970e6d0724a73caa478ec78c665616b5ebbe6d3dfc2692,unresolved,"runtime/code-history/owner decision; preserve"
