"file","line","kind","method","endpoint_expression","resolved_route_name","resolved_literal_uri","legacy_match"
"public/theme/viar/js/add.js","97","jquery_ajax","POST","$(this).attr(""action"")","","",""
"public/theme/viar/js/add.js","123","jquery_ajax","POST","$(this).attr(""action"")","","",""
"public/theme/viar/js/add.js","185","jquery_ajax","POST","route_forget","","",""
"public/theme/viar/js/collage_header_js.js","119","jquery_ajax","POST","route_forget","","",""
"public/theme/viar/js/collage_header_js.js","178","jquery_ajax","POST","'/basket/update/count'","","basket/update/count","LITERAL_URI_MATCH"
"public/theme/viar/js/collage_header_js.js","214","jquery_ajax","POST","'/user/send_screen'","","user/send_screen","LITERAL_URI_MATCH"
"public/theme/viar/js/collage_header_js.js","268","jquery_ajax","POST","$('#routes_links').data('send_dates')","","",""
"public/theme/viar/js/collage_header_js.js","318","jquery_ajax","POST","$('#routes_links').data('user_free_img')","","",""
"public/theme/viar/js/collage_header_js.js","358","jquery_ajax","POST","$('#routes_links').data('coupon_use')","","",""
"public/theme/viar/js/collage_header_js.js","411","jquery_ajax","POST","$('#routes_links').data('send_gift_card')","","",""
"public/theme/viar/js/custom.js","258","jquery_ajax","POST","""/basket/update/count""","","basket/update/count","LITERAL_URI_MATCH"
"public/theme/viar/js/custom.js","284","jquery_ajax","post","""/basket/coupon_use""","","basket/coupon_use","LITERAL_URI_MATCH"
"public/theme/viar/js/custom.js","327","jquery_ajax","post","""/cart/updateimg""","","cart/updateimg","LITERAL_URI_MATCH"
"public/theme/viar/js/custom.js","361","jquery_ajax","post","""/cart/delimage""","","cart/delimage","LITERAL_URI_MATCH"
"public/theme/viar/js/custom.js","386","jquery_ajax","post","""/cart/setmaking""","","cart/setmaking","LITERAL_URI_MATCH"
"public/theme/viar/js/custom.js","417","jquery_ajax","post","""/basket/remove""","","basket/remove","LITERAL_URI_MATCH"
"public/theme/viar/js/custom.js","442","jquery_ajax","post","""/get_cart""","","get_cart","LITERAL_URI_MATCH"
"public/theme/viar/js/custom.js","496","jquery_ajax","post","`/get_towns?country=${e}`","","",""
"public/theme/viar/js/custom.js","534","jquery_ajax","post","""/cart/setmaking""","","cart/setmaking","LITERAL_URI_MATCH"
"public/theme/viar/js/custom.js","566","jquery_ajax","post","""/cart/setdelivery""","","cart/setdelivery","LITERAL_URI_MATCH"
"public/theme/viar/js/custom.js","587","jquery_ajax","post","""/cart/setpay""","","cart/setpay","LITERAL_URI_MATCH"
