"legacy_methods","legacy_uri","legacy_name","legacy_handler","legacy_middleware","source_file","source_line","view_candidates","code_signals","flow","side_effect_class","target_match","disposition","task_id"
"GET","/","home","App\Http\Controllers\IndexController@hbrender","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","app/Http/Controllers/IndexController.php","96","","DB|REDIRECT","implemented foundation","READ_DB","GET|HEAD / [home] || GET|HEAD {locale} [public.localized.home]","PARITY_DONE","APP-005A"
"GET","_debugbar/assets/javascript","debugbar.assets.js","Barryvdh\Debugbar\Controllers\AssetController@js","Barryvdh\Debugbar\Middleware\DebugbarEnabled","vendor/barryvdh/laravel-debugbar/src/Controllers/AssetController.php","14","","","developer endpoints","DEV_READ_OR_WRITE","","SECURITY_REPLACE","SEO-001"
"GET","_debugbar/assets/stylesheets","debugbar.assets.css","Barryvdh\Debugbar\Controllers\AssetController@css","Barryvdh\Debugbar\Middleware\DebugbarEnabled","vendor/barryvdh/laravel-debugbar/src/Controllers/AssetController.php","36","","","developer endpoints","DEV_READ_OR_WRITE","","SECURITY_REPLACE","SEO-001"
"DELETE","_debugbar/cache/{key}/{tags?}","debugbar.cache.delete","Barryvdh\Debugbar\Controllers\CacheController@delete","Barryvdh\Debugbar\Middleware\DebugbarEnabled","vendor/barryvdh/laravel-debugbar/src/Controllers/CacheController.php","13","","","developer endpoints","DEV_READ_OR_WRITE","","SECURITY_REPLACE","SEO-001"
"GET","_debugbar/clockwork/{id}","debugbar.clockwork","Barryvdh\Debugbar\Controllers\OpenHandlerController@clockwork","Barryvdh\Debugbar\Middleware\DebugbarEnabled","vendor/barryvdh/laravel-debugbar/src/Controllers/OpenHandlerController.php","34","","","developer endpoints","DEV_READ_OR_WRITE","","SECURITY_REPLACE","SEO-001"
"GET","_debugbar/open","debugbar.openhandler","Barryvdh\Debugbar\Controllers\OpenHandlerController@handle","Barryvdh\Debugbar\Middleware\DebugbarEnabled","vendor/barryvdh/laravel-debugbar/src/Controllers/OpenHandlerController.php","13","","","developer endpoints","DEV_READ_OR_WRITE","","SECURITY_REPLACE","SEO-001"
"GET","{slug}","page","App\Http\Controllers\StaticPagesController@render_slug_page","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","app/Http/Controllers/StaticPagesController.php","760","collage|modular-pictures","DB|REDIRECT","public content pages","READ_DB","","MISSING_TARGET","APP-005B-PAGES-01"
"GET","about","about","App\Http\Controllers\PageController@hb_render_about","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","app/Http/Controllers/PageController.php","146","","","public content pages","READ_DB","","MISSING_TARGET","APP-005B-PAGES-01"
"GET","account","account.index","App\Http\Controllers\AccountController@render","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified|auth","app/Http/Controllers/AccountController.php","39","account","DB|REDIRECT","account and profile","READ_OR_WRITE_DB","","MISSING_TARGET","AUTH-001+SEC-009"
"POST","ajax_change_information","account.ajax_change_information","App\Http\Controllers\AccountController@ajax_change_information","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified|auth","app/Http/Controllers/AccountController.php","365","","","account and profile","READ_OR_WRITE_DB","","MISSING_TARGET","AUTH-001+SEC-009"
"GET","all_styles","all_styles","App\Http\Controllers\PageController@render_all_styles","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","app/Http/Controllers/PageController.php","285","all_styles","","public content pages","READ_DB","","MISSING_TARGET","APP-005B-PAGES-01"
"POST","all_styles_form","send_all_styles_form","App\Http\Controllers\UserManageController@send_all_styles_form","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","app/Http/Controllers/UserManageController.php","555","","MAIL|SESSION|REDIRECT","implemented foundation","WRITE_MIXED_GATED","POST all_styles_form [send_all_styles_form] || POST {locale}/all_styles_form [public.localized.send_all_styles_form]","PARITY_DONE","APP-005A-FORM-01"
"GET","arrilot/load-widget","","Arrilot\Widgets\Controllers\WidgetController@showWidget","web","vendor/arrilot/laravel-widgets/src/Controllers/WidgetController.php","19","","","runtime widgets","READ_DB","","MISSING_TARGET","APP-005B-PAGES-01"
