"methods","uri","name","handler","controller","middleware","domain","handler_exists","source_file","source_line"
"GET","_debugbar/open","debugbar.openhandler","Barryvdh\Debugbar\Controllers\OpenHandlerController@handle","Barryvdh\Debugbar\Controllers\OpenHandlerController@handle","Barryvdh\Debugbar\Middleware\DebugbarEnabled","","yes","vendor/barryvdh/laravel-debugbar/src/Controllers/OpenHandlerController.php","13"
"GET","_debugbar/clockwork/{id}","debugbar.clockwork","Barryvdh\Debugbar\Controllers\OpenHandlerController@clockwork","Barryvdh\Debugbar\Controllers\OpenHandlerController@clockwork","Barryvdh\Debugbar\Middleware\DebugbarEnabled","","yes","vendor/barryvdh/laravel-debugbar/src/Controllers/OpenHandlerController.php","34"
"GET","_debugbar/assets/stylesheets","debugbar.assets.css","Barryvdh\Debugbar\Controllers\AssetController@css","Barryvdh\Debugbar\Controllers\AssetController@css","Barryvdh\Debugbar\Middleware\DebugbarEnabled","","yes","vendor/barryvdh/laravel-debugbar/src/Controllers/AssetController.php","36"
"GET","_debugbar/assets/javascript","debugbar.assets.js","Barryvdh\Debugbar\Controllers\AssetController@js","Barryvdh\Debugbar\Controllers\AssetController@js","Barryvdh\Debugbar\Middleware\DebugbarEnabled","","yes","vendor/barryvdh/laravel-debugbar/src/Controllers/AssetController.php","14"
"DELETE","_debugbar/cache/{key}/{tags?}","debugbar.cache.delete","Barryvdh\Debugbar\Controllers\CacheController@delete","Barryvdh\Debugbar\Controllers\CacheController@delete","Barryvdh\Debugbar\Middleware\DebugbarEnabled","","yes","vendor/barryvdh/laravel-debugbar/src/Controllers/CacheController.php","13"
"GET","arrilot/load-widget","","Arrilot\Widgets\Controllers\WidgetController@showWidget","Arrilot\Widgets\Controllers\WidgetController@showWidget","web","","yes","vendor/arrilot/laravel-widgets/src/Controllers/WidgetController.php","19"
"GET","admin/translations/view/{groupKey?}","","Barryvdh\TranslationManager\Controller@getView","Barryvdh\TranslationManager\Controller@getView","web|auth","","yes","vendor/barryvdh/laravel-translation-manager/src/Controller.php","54"
"GET","admin/translations/{groupKey?}","","Barryvdh\TranslationManager\Controller@getIndex","Barryvdh\TranslationManager\Controller@getIndex","web|auth","","yes","vendor/barryvdh/laravel-translation-manager/src/Controller.php","19"
"POST","admin/translations/add/{groupKey}","","Barryvdh\TranslationManager\Controller@postAdd","Barryvdh\TranslationManager\Controller@postAdd","web|auth","","yes","vendor/barryvdh/laravel-translation-manager/src/Controller.php","74"
"POST","admin/translations/edit/{groupKey}","","Barryvdh\TranslationManager\Controller@postEdit","Barryvdh\TranslationManager\Controller@postEdit","web|auth","","yes","vendor/barryvdh/laravel-translation-manager/src/Controller.php","87"
