rule_id,source_line,source,target,locales,registered_routes,source_occurrences,distinct_targets_for_source,target_is_another_source,chain_rule_count,cycle,cycle_path,pl_variant_shadowed,notes
1,393,/new/graphic-portrait/portrait-Dream-Art,/new/graphic-portrait/portrait-dream-art,en|pl|lv|lt|ee|de|ru,8,1,1,no,1,no,,yes,/pl variant shadowed by earlier catch-all; confirmed with /pl/canvas
2,395,/modular-pictures,/modular-generator,en|pl|lv|lt|ee|de|ru,8,1,1,no,1,no,,yes,/pl variant shadowed by earlier catch-all; confirmed with /pl/canvas
3,396,/canvas,/new/canvas,en|pl|lv|lt|ee|de|ru,8,1,1,no,1,no,,yes,/pl variant shadowed by earlier catch-all; confirmed with /pl/canvas
4,397,/gallery/oil-pictures,/new/graphic-portrait/kartiny,en|pl|lv|lt|ee|de|ru,8,1,1,no,1,no,,yes,/pl variant shadowed by earlier catch-all; confirmed with /pl/canvas
5,398,/graphic-portrait/Doppelbelichtung-Portrait,/all_styles,en|pl|lv|lt|ee|de|ru,8,1,1,no,1,no,,yes,/pl variant shadowed by earlier catch-all; confirmed with /pl/canvas
6,399,/graphic-portrait/Farb- und Schwarz-Weiß-Fotos,/all_styles,en|pl|lv|lt|ee|de|ru,8,1,1,no,1,no,,yes,/pl variant shadowed by earlier catch-all; confirmed with /pl/canvas; space in URL; non-ASCII URL
7,400,/graphic-portrait/Fotokorrektur,/all_styles,en|pl|lv|lt|ee|de|ru,8,1,1,no,1,no,,yes,/pl variant shadowed by earlier catch-all; confirmed with /pl/canvas
8,401,/graphic-portrait/Fotowiederherstellung,/all_styles,en|pl|lv|lt|ee|de|ru,8,1,1,no,1,no,,yes,/pl variant shadowed by earlier catch-all; confirmed with /pl/canvas
9,402,/graphic-portrait/Grafik-Porträt,/new/graphic-portrait/Grafik-Porträt,en|pl|lv|lt|ee|de|ru,8,1,1,yes,2,no,,yes,redirect chain; /pl variant shadowed by earlier catch-all; confirmed with /pl/canvas; non-ASCII URL
10,403,/graphic-portrait/Liebe ist Porträt,/all_styles,en|pl|lv|lt|ee|de|ru,8,1,1,no,1,no,,yes,/pl variant shadowed by earlier catch-all; confirmed with /pl/canvas; space in URL; non-ASCII URL
