"target_methods","target_uri","target_name","target_action","normalized_key","legacy_matches","disposition"
"GET|HEAD","/","home","App\Http\Controllers\PublicHomepageController","GET|/","GET / [home]","LEGACY_MAPPED"
"GET|HEAD","{locale}","public.localized.home","App\Http\Controllers\PublicHomepageController","GET|/","GET / [home]","LEGACY_MAPPED"
"POST","{locale}/all_styles_form","public.localized.send_all_styles_form","App\Http\Controllers\HomepagePhotoLeadController","POST|all_styles_form","POST all_styles_form [send_all_styles_form]","LEGACY_MAPPED"
"GET|HEAD","{locale}/condition","public.localized.condition","App\Http\Controllers\PublicConditionController","GET|condition","GET condition [condition]","LEGACY_MAPPED"
"POST","{locale}/custom_login_ajax","public.localized.custom_login_ajax","App\Http\Controllers\PublicAuthController@login","POST|custom_login_ajax","POST custom_login_ajax [custom_login_ajax]","LEGACY_MAPPED"
"POST","{locale}/custom_register_ajax","public.localized.custom_register_ajax","App\Http\Controllers\PublicAuthController@register","POST|custom_register_ajax","POST custom_register_ajax [custom_register_ajax]","LEGACY_MAPPED"
"POST","{locale}/password/reset","public.localized.password.update","App\Http\Controllers\PublicAuthController@reset","POST|password/reset","POST password/reset [password.update]","LEGACY_MAPPED"
"GET|HEAD","{locale}/password/reset/{token}","public.localized.password.reset","App\Http\Controllers\PublicAuthController@showReset","GET|password/reset/{token}","GET password/reset/{token} [password.reset]","LEGACY_MAPPED"
"GET|HEAD","{locale}/robots.txt","public.localized.robots","App\Http\Controllers\PublicRobotsController","GET|robots.txt","GET robots.txt [main.robots.txt]","LEGACY_MAPPED"
"POST","{locale}/send_photo_form","public.localized.send_photo_form","App\Http\Controllers\HomepageQuizController","POST|send_photo_form","POST send_photo_form [send_photo_form]","LEGACY_MAPPED"
"GET|HEAD","{locale}/thanks","public.localized.thanks","App\Http\Controllers\PublicThanksController","GET|thanks","GET thanks [thanks]","LEGACY_MAPPED"
"POST","{locale}/user/forget_email","public.localized.forget_email_reset","App\Http\Controllers\PublicAuthController@sendResetLink","POST|user/forget_email","POST user/forget_email [forget_email_reset]","LEGACY_MAPPED"
"POST","{locale}/user/send_photo_form","public.localized.user.send_photo_form","App\Http\Controllers\HomepageQuizController","POST|user/send_photo_form","POST user/send_photo_form [send_photo_form]","LEGACY_MAPPED"
"POST","all_styles_form","send_all_styles_form","App\Http\Controllers\HomepagePhotoLeadController","POST|all_styles_form","POST all_styles_form [send_all_styles_form]","LEGACY_MAPPED"
"GET|HEAD","condition","condition","App\Http\Controllers\PublicConditionController","GET|condition","GET condition [condition]","LEGACY_MAPPED"
"POST","custom_login_ajax","custom_login_ajax","App\Http\Controllers\PublicAuthController@login","POST|custom_login_ajax","POST custom_login_ajax [custom_login_ajax]","LEGACY_MAPPED"
"POST","custom_register_ajax","custom_register_ajax","App\Http\Controllers\PublicAuthController@register","POST|custom_register_ajax","POST custom_register_ajax [custom_register_ajax]","LEGACY_MAPPED"
"POST","password/reset","password.update","App\Http\Controllers\PublicAuthController@reset","POST|password/reset","POST password/reset [password.update]","LEGACY_MAPPED"
"GET|HEAD","password/reset/{token}","password.reset","App\Http\Controllers\PublicAuthController@showReset","GET|password/reset/{token}","GET password/reset/{token} [password.reset]","LEGACY_MAPPED"
"GET|HEAD","robots.txt","public.robots","App\Http\Controllers\PublicRobotsController","GET|robots.txt","GET robots.txt [main.robots.txt]","LEGACY_MAPPED"
"GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS","ru","public.default.home.redirect","Illuminate\Routing\RedirectController","DELETE|GET|PATCH|POST|PUT|ru","","COMPATIBILITY_ALIAS"
"GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS","ru/condition","public.default.condition.redirect","Illuminate\Routing\RedirectController","DELETE|GET|PATCH|POST|PUT|ru/condition","","COMPATIBILITY_ALIAS"
"GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS","ru/thanks","public.default.thanks.redirect","Illuminate\Routing\RedirectController","DELETE|GET|PATCH|POST|PUT|ru/thanks","","COMPATIBILITY_ALIAS"
"POST","send_photo_form","send_photo_form","App\Http\Controllers\HomepageQuizController","POST|send_photo_form","POST send_photo_form [send_photo_form]","LEGACY_MAPPED"
"GET|HEAD","thanks","thanks","App\Http\Controllers\PublicThanksController","GET|thanks","GET thanks [thanks]","LEGACY_MAPPED"
"POST","user/forget_email","forget_email_reset","App\Http\Controllers\PublicAuthController@sendResetLink","POST|user/forget_email","POST user/forget_email [forget_email_reset]","LEGACY_MAPPED"
"POST","user/send_photo_form","user.send_photo_form","App\Http\Controllers\HomepageQuizController","POST|user/send_photo_form","POST user/send_photo_form [send_photo_form]","LEGACY_MAPPED"
