"id","entrypoint","method","access_now","input_authority","reads","writes_side_effects","current_validation","idempotency","tests","target_action","risk"
"VD-001","/cart/delivery","GET","public locale web","session user country","country_tels; Venipak directory","two provider requests; render","none for provider result","n/a","none","cache typed directory; stale fallback","R-51"
"VD-002","/get_towns","POST","public locale web + CSRF","query country","venipak_data; country_tels; provider","credentialed provider lookup; HTML+price response","none; raw $_GET","n/a","none","allowlist country; throttle; cache; JSON DTO","R-51"
"VD-003","/get_towns_for_admin","POST","public locale web + CSRF","query country","venipak_data; provider","credentialed provider lookup","none; raw $_GET","n/a","none","move under admin auth or merge typed endpoint","R-31/R-51"
"VD-004","/get_warehouse","GET","public locale web","query country/city","venipak_data; provider","credentialed provider lookup","none; raw $_GET","n/a","none","POST/read API with validation, throttle/cache","R-51"
"VD-005","BasketController::get_citys","internal page call","internal","page country","provider","provider lookup","none","n/a","none","shared PickupPointDirectory","R-51"
"VD-006","BasketController::get_warehouse","internal page call","internal","page country","provider","provider lookup","none","n/a","none","single cached provider fetch","R-51"
"VD-007","PageController::get_citys","internal page call","internal","page country","provider","provider lookup","none","n/a","none","remove duplicate reader","R-51"
"VD-008","PageController::get_warehouse","internal page call","internal","page country","provider","provider lookup","none","n/a","none","remove duplicate reader","R-51"
"VD-009","/cart/setdelivery","POST","public locale web + CSRF","browser","request/session","cart_delivery session; optional file write","no server delivery validator","none","none","server quote token + method/country rules","R-50"
"VD-010","delivery price","checkout field","public checkout","browser DOM text","country_tels only at render","session/order/payment total","float cast only","none","none","recompute server-side at order/payment boundary","R-50"
"VD-011","Venipak pickup choice","checkout field","public checkout","browser selected div","provider response rendered in page","city and display name/address in session/order","client-side selection only","none","none","store provider point ID + immutable snapshot","R-55"
"VD-012","VIAR workshop choice","checkout field","public checkout","browser workshop id","delivery_pickup_at_viar_workshop","session/order JSON","no server exists/visible/country check in setdelivery","none","partial SA/admin tests","validate active row and country","R-50"
"VD-013","Orders::saveOrder delivery","internal","internal checkout","session-derived checkout params","session/order user","orders.delivery JSON","shape assumptions only","checkout-level missing","indirect tests","compatibility DTO + server quote receipt","R-50"
"VD-014","VinepakApiController::__construct","controller construction","all controller calls","first active DB row","venipak_data","loads credentials/URLs five queries","fallback empty credentials/live URLs","n/a","none","typed config + secret store + fail closed","R-54"
"VD-015","/admin/send_courier","POST","web+CSRF only","browser form","venipak_data","provider courier request","HTML required on two fields only","none","none","admin Policy + validated request + attempt ledger","R-31/R-53"
"VD-016","generate_courier_xml","internal","admin courier call","raw request","request fields","XML string","none; no XML escaping","none","none","DOM/XMLWriter DTO serialization","R-52"
"VD-017","send_courier transport","internal","server outbound","DB URL/credentials","venipak_data","cURL provider call","no timeout/status/curl error/XML guard","none","none","typed client + retry classification","R-51/R-53/R-54"
"VD-018","/admin/create_label","POST","web+CSRF only","browser + order id","orders; venipak_data","provider label; orders.labels overwrite","partial pickup checks","none","2 pickup tests","admin Policy + durable idempotency","R-31/R-53"
"VD-019","buildLabelPayload address","internal","admin label call","browser form","orders.delivery","payload DTO array","only rejects if address+city+post all empty","none","none","FormRequest full field/country/postcode rules","R-52"
"VD-020","buildLabelPayload pickup","internal","admin label call","browser hidden fields","orders.delivery; pickup workshop","payload DTO array","nonempty city/address/post/name/code","none","2 tests","validate provider point ID/snapshot/country","R-55"
"VD-021","generate_label_packs","internal","admin label call","browser arrays","login_id; order_id","pack XML","no array/numeric/range checks","deterministic code only","none","package entity + unique attempt package numbers","R-52/R-53"
"VD-022","manifest number","internal","admin label call","date; ignored man_no","login_id","XML manifest title","hardcoded 001 suffix","none","none","provider-compliant unique manifest receipt","R-53"
"VD-023","generate_label_xml","internal","admin label call","payload and pack XML","payload","XML string","no escaping; duplicate delivery_type","none","pickup assertions only","schema-backed serializer + golden XML","R-52"
"VD-024","sendVenipakLabelRequest","internal","server outbound","XML + DB credentials/URL","venipak_data","provider label call","no timeout/status/curl error","none","fake success only","typed client + outcome taxonomy","R-51/R-53/R-54"
"VD-025","provider label response parse","internal","admin label call","provider body","response","orders.labels or dd/error","unguarded simplexml; dd on error","none","fake success/error identity only","safe parser; no debug halt; response hash","R-53"
"VD-026","orders.labels update","DB write","admin label call","provider text","orders","overwrites text field","no transaction/optimistic lock/history","none","success path only","shipment_attempts ledger; compatibility projection","R-53"
"VD-027","multi-package labels","internal","admin label call","provider text array","response","comma string","rtrim result ignored","none","none","normalized child rows; exact package mapping","R-53"
"VD-028","/admin/print_label","POST","web+CSRF only","arbitrary label_code","venipak_data","provider print request; binary response","nonempty/non-Error prefix only","read retry undefined","none","Policy + label ownership + typed PDF validation","R-31/R-55"
"VD-029","label PDF response","HTTP response","admin print call","provider body/raw code","provider","browser download","no status/MIME/signature/size; malformed filename quote","n/a","none","safe filename; PDF signature/limit/hash/audit","R-55"
"VD-030","venipak_data credentials","DB/config","operations/admin","Voyager/DB","venipak_data","credential use","plaintext/mass assignable/tracked defaults","n/a","none","rotate; secret manager; no defaults","R-54"
"VD-031","provider URLs","DB/config","server outbound","DB admin","venipak_data","server outbound request","no HTTPS/host allowlist","n/a","none","environment-bound allowed hosts","R-54"
"VD-032","Estonia mapping","lookup rule","all directory readers","country code","request","EE or ET sent to provider","inconsistent among readers","n/a","none","one approved normalization table","R-51"
"VD-033","CountryTel missing row","lookup response","public lookup","country query","country_tels","log then array dereference","warning only; no fail response","n/a","none","validated supported-country registry","R-50/R-51"
"VD-034","pickup directory HTML","response rendering","public/admin lookup","provider fields","provider JSON","public/admin options","Blade escapes public; admin JS interpolates JSON","n/a","none","DTO encode/text nodes; CSP/XSS tests","R-51"
"VD-035","courier lifecycle","business operation","admin operation","operator form","none","provider request only","no local status/cancel/audit","none","none","courier request state machine","R-53"
"VD-036","label lifecycle","business operation","admin operation","operator/order","orders.labels","create/reprint only","no void/reconcile/status","none","2 narrow tests","shipment lifecycle + void policy","R-53/R-55"
"VD-037","provider observability","cross-cutting","all provider calls","operation metadata","logs","partial log lines","no correlation/latency/status metrics","n/a","none","PII-safe structured telemetry","R-51/R-53"
"VD-038","legacy pickup history","migration data","migration/read","orders.delivery JSON","orders","read/label destination","many rows lack new pickup_workshop_id/provider point ID","n/a","none","dual-read resolver + immutable historical snapshot","R-55"
"VD-039","production parallel operation","cutover","legacy production","legacy live orders","orders/provider","new orders and labels continue","no dual-write/reconciliation design","n/a","none","legacy sole writer until atomic route cutover","R-26/R-28/R-53"
"VD-040","frontend assets","migration boundary","public frontend","frozen public JS","public/theme/viar/js","existing request shape","must not rebuild/regenerate","n/a","manual regression pending","adapter compatibility; hash frozen assets","R-13"
