data_type_id,slug,table,model,table_exists,model_exists,controller,controller_exists,server_side,data_rows,table_rows,relationship_rows,translation_rows,translation_locales,permission_keys,permission_role_assignments,migration_class
1,users,users,"TCG\Voyager\Models\User",1,1,"TCG\Voyager\Http\Controllers\VoyagerUserController",1,1,43,23801,2,0,,add_users|browse_users|delete_users|edit_users|read_users,21,custom_resource_or_page
2,menus,menus,"TCG\Voyager\Models\Menu",1,1,,,0,4,3,0,0,,add_menus|browse_menus|delete_menus|edit_menus|read_menus,19,standard_resource_review
3,roles,roles,"TCG\Voyager\Models\Role",1,1,"TCG\Voyager\Http\Controllers\VoyagerRoleController",1,0,5,8,0,0,,add_roles|browse_roles|delete_roles|edit_roles|read_roles,14,custom_resource_or_page
5,locales,locales,"App\Models\Locale",1,1,"App\Http\Controllers\Admin\AdminLocaleController",1,0,5,7,0,0,,add_locales|browse_locales|delete_locales|edit_locales|read_locales,19,custom_resource_or_page
6,pages,pages,"App\Models\Page",1,1,,,0,9,7,0,175,de|ee|en|lt|lv|pl|ru,add_pages|browse_pages|delete_pages|edit_pages|read_pages,19,localized_resource
7,gallery-types,gallery_types,"App\Models\GalleryType",1,1,,,0,7,7,0,42,de|ee|lt|lv|pl|ru,add_gallery_types|browse_gallery_types|delete_gallery_types|edit_gallery_types|read_gallery_types,17,localized_resource
8,gallery-categories,gallery_categories,"App\Models\GalleryCategory",1,1,,,0,17,41,1,580,de|ee|lt|lv|pl|ru,add_gallery_categories|browse_gallery_categories|delete_gallery_categories|edit_gallery_categories|read_gallery_categories,18,localized_resource
9,gallery-sizes,gallery_sizes,"App\Models\GallerySize",1,1,,,0,7,80,0,4,en,add_gallery_sizes|browse_gallery_sizes|delete_gallery_sizes|edit_gallery_sizes|read_gallery_sizes,18,localized_resource
10,gallery-holsts,gallery_holsts,"App\Models\GalleryHolst",1,1,,,0,10,5,0,105,de|ee|en|lt|lv|pl|ru,add_gallery_holsts|browse_gallery_holsts|delete_gallery_holsts|edit_gallery_holsts|read_gallery_holsts,18,localized_resource
11,gallery-boxes,gallery_boxes,"App\Models\GalleryBox",1,1,,,0,7,3,0,40,de|ee|en|lt|lv|pl|ru,add_gallery_boxes|browse_gallery_boxes|delete_gallery_boxes|edit_gallery_boxes|read_gallery_boxes,18,localized_resource
12,gallery-tag-rooms,gallery_tag_rooms,"App\Models\GalleryTagRoom",1,1,,,0,4,6,0,36,de|ee|lt|lv|pl|ru,add_gallery_tag_rooms|browse_gallery_tag_rooms|delete_gallery_tag_rooms|edit_gallery_tag_rooms|read_gallery_tag_rooms,18,localized_resource
